ref_odoo;libelle;code_barre;categorie;prix_achat
JNR SHISHA PLUS - 28K - DOUBLE APPLE - BY AJCV;SHP008;;VAPES - JNR;
JNR SHISHA PLUS - 28K - LADY KILLA - BY AJCV;SHP002;;VAPES - JNR;
JNR SHISHA PLUS - 28K - LUSH ICE - BY AJCV;SHP003;;VAPES - JNR;
JNR SHISHA PLUS - 28K - PEACH ICE - BY AJCV;SHP007;;VAPES - JNR;
JNR SHISHA PLUS - 28K - STRAWBERRY DRAGON FRUIT - BY AJCV;SHP005;;VAPES - JNR;
JNR SHISHA PLUS - 28K - STRAWBERRY POMEGRANATE - BY AJCV;SHP001;;VAPES - JNR;
JNR SHISHA PLUS POD - 28K - BERRY ICE - BY AJCV;SHP014;;VAPES - JNR;
JNR SHISHA PLUS POD - 28K - BLUEBERRY BUBBLE;SHP011;;VAPES - JNR;
JNR SHISHA PLUS POD - 28K - BLUEBERRY BUBBLE - BY AJCV;SHP011;;VAPES - JNR;
JNR SHISHA PLUS POD - 28K - DOUBLE APPLE;SHP009;;VAPES - JNR;
JNR SHISHA PLUS POD - 28K - DOUBLE APPLE - BY AJCV;SHP009;;VAPES - JNR;
JNR SHISHA PLUS POD - 28K - LADY KILLA - BY AJCV;SHP016;;VAPES - JNR;
JNR SHISHA PLUS POD - 28K - LUSH ICE - BY AJCV;SHP015;;VAPES - JNR;
JNR SHISHA PLUS POD - 28K - PEACH ICE;SHP010;;VAPES - JNR;
JNR SHISHA PLUS POD - 28K - PEACH ICE - BY AJCV;SHP010;;VAPES - JNR;
JNR SHISHA PLUS POD - 28K - STRAWBERRY DRAGON FRUIT - BY AJCV;SHP013;;VAPES - JNR;
JNR SHISHA PLUS POD - 28K - STRAWBERRY POMEGRANATE;SHP012;;VAPES - JNR;
JNR SHISHA PLUS POD - 28K - STRAWBERRY POMEGRANATE - BY AJCV;SHP012;;VAPES - JNR;
KAKEMONO LIQUIDEO;KAK001;;PLV;
KALOUD;KAL001;;CHICHA / ACCESSOIRES;
LAMPE 3D LEAF USB;L001;;MULTIMEDIA;
MECHE ZIPPO;AC0004;;BRIQUETS - ACCESSOIRES;
MINI ENCEINTE BLUETOOTH - COULEURS MIXTES;M001;;MULTIMEDIA;
MOBILIER TABAC;MOB002;;;
MOBILIER TABAC - PARTICIPATION FINANCIERE;MOB002;;;
MOBILIER TABAC - STANDARD (GRATUITE);MOB001;;;
MYELIQUIDE 10ML/3MG - ANANAS X6;MYE002;;ELIQUIDES - LIQUIDEO;
MYELIQUIDE 10ML/3MG - CITRON X6;MYE003;;ELIQUIDES - LIQUIDEO;
MYELIQUIDE 10ML/3MG - CLASSIC USA X6;MYE004;;ELIQUIDES - LIQUIDEO;
MYELIQUIDE 10ML/3MG - COLA FREEZE X6;MYE005;;ELIQUIDES - LIQUIDEO;
MYELIQUIDE 10ML/3MG - FRAISE AGRUMES X6;MYE006;;ELIQUIDES - LIQUIDEO;
MYELIQUIDE 10ML/3MG - FRUITS ROUGES X6;MYE033;;ELIQUIDES - LIQUIDEO;
MYELIQUIDE 10ML/3MG - MANGUE X6;MYE007;;ELIQUIDES - LIQUIDEO;
MYELIQUIDE 10ML/3MG - MELON GLACE X6;MYE008;;ELIQUIDES - LIQUIDEO;
MYELIQUIDE 10ML/3MG - MENTHE GLACIALE X6;MYE009;;ELIQUIDES - LIQUIDEO;
MYELIQUIDE 10ML/3MG - MILKSHAKE BANANE X6;MYE010;;ELIQUIDES - LIQUIDEO;
MYELIQUIDE 10ML/6MG - ANANAS X6;MYE011;;ELIQUIDES - LIQUIDEO;
MYELIQUIDE 10ML/6MG - CITRON X6;MYE012;;ELIQUIDES - LIQUIDEO;
MYELIQUIDE 10ML/6MG - CLASSIC USA X6;MYE013;;ELIQUIDES - LIQUIDEO;
MYELIQUIDE 10ML/6MG - COLA FREEZE X6;MYE014;;ELIQUIDES - LIQUIDEO;
MYELIQUIDE 10ML/6MG - FRAISE AGRUMES X6;MYE015;;ELIQUIDES - LIQUIDEO;
MYELIQUIDE 10ML/6MG - FRUITS ROUGES X6;MYE016;;ELIQUIDES - LIQUIDEO;
MYELIQUIDE 10ML/6MG - MANGUE X6;MYE017;;ELIQUIDES - LIQUIDEO;
MYELIQUIDE 10ML/6MG - MELON GLACE X6;MYE018;;ELIQUIDES - LIQUIDEO;
MYELIQUIDE 10ML/6MG - MENTHE GLACIALE X6;MYE019;;ELIQUIDES - LIQUIDEO;
MYELIQUIDE 10ML/6MG - MILKSHAKE BANANE X6;MYE020;;ELIQUIDES - LIQUIDEO;
MYELIQUIDE 50ML/0MG - CLASSIC USA;MYE029;;ELIQUIDES - LIQUIDEO;
MYELIQUIDE 50ML/0MG - FRUITS ROUGES;MYE030;;ELIQUIDES - LIQUIDEO;
MYELIQUIDE 50ML/0MG - MELON GLACE;MYE031;;ELIQUIDES - LIQUIDEO;
MYELIQUIDE 50ML/0MG - MENTHE GLACIALE;MYE032;;ELIQUIDES - LIQUIDEO;
NOTEBOOK JNR;GOO007;;PLV;
PIERRE A BRIQUET NEWPORT DISPLAY X24;NEW001;;BRIQUETS - ACCESSOIRES;
PIERRE ZIPPO;AC0003;;BRIQUETS - ACCESSOIRES;
PIPE ARC-EN-CIEL/A340777;B322;;ACCESSOIRES FUMEURS;
PIPE BLACK LEAF;P033;;ACCESSOIRES FUMEURS;
PIPE COLOREES X24;P009;;ACCESSOIRES FUMEURS;
PIPE EIGHT BALL;P008;;ACCESSOIRES FUMEURS;
PIPE EN VERRE;P030;;ACCESSOIRES FUMEURS;
PIPE EN VERRE X24/A340676;P010;;ACCESSOIRES FUMEURS;
PIPE EN VERRE X5;P012;;ACCESSOIRES FUMEURS;
PIPE GOLDEN SKULL X24/MP100;B324;;ACCESSOIRES FUMEURS;
PIPE RAINBOW X24;P008;;ACCESSOIRES FUMEURS;
PIPE REGGAE/A340778;B323;;ACCESSOIRES FUMEURS;
PIPE SWED;SWE000;;;
PLV;PLV001;;PLV;
POD;AKI100;;;
POD 1600 - 2400 ANANAS GLACE 0.9%;AKI059;;VAPES - LIQUIDEO;
POD 1600 - 2400 ANANAS GLACE 1.7%;AKI060;;VAPES - LIQUIDEO;
POD 1600 - 2400 FRUITS ROUGES 0.9%;AKI055;;VAPES - LIQUIDEO;
POD 1600 - 2400 FRUITS ROUGES 1.7%;AKI056;;VAPES - LIQUIDEO;
POD 1600 - 2400 GROSSE FRAISE 0.9%;AKI057;;VAPES - LIQUIDEO;
POD 1600 - 2400 GROSSE FRAISE 1.7%;AKI058;;VAPES - LIQUIDEO;
POD 1600 - 2400 MA CHERIE FRAMBOYANTE 0.9%;AKI100;;VAPES - LIQUIDEO;
POD 1600 - 2400 MA CHERIE FRAMBOYANTE 1.7%;AKI101;;VAPES - LIQUIDEO;
POD 1600 - 2400 MENTHE NAR NAR 0.9%;AKI061;;VAPES - LIQUIDEO;
POD 1600 - 2400 MENTHE NAR NAR 1.7%;AKI062;;VAPES - LIQUIDEO;
POD 1600 - 2400 MY CHERRY CITRONNEE 0.9%;AKI065;;VAPES - LIQUIDEO;
POD 1600 - 2400 MY CHERRY CITRONNEE 1.7%;AKI066;;VAPES - LIQUIDEO;
POD 1600 - 2400 MYRTILLE FRAMBOYANTE 0.9%;AKI063;;VAPES - LIQUIDEO;
POD 1600 - 2400 MYRTILLE FRAMBOYANTE 1.7%;AKI064;;VAPES - LIQUIDEO;
POD 1600 - 2400 MYRTILLE GRENADE 0.9%;AKI053;;VAPES - LIQUIDEO;
POD 1600 - 2400 MYRTILLE GRENADE 1.7%;AKI054;;VAPES - LIQUIDEO;
POD 1600 - 2400 PANIK NAN TROPIK 0.9%;AKI069;;VAPES - LIQUIDEO;
POD 1600 - 2400 PANIK NAN TROPIK 1.7%;AKI070;;VAPES - LIQUIDEO;
POD 1600 - 2400 PASTOUK 0.9%;AKI067;;VAPES - LIQUIDEO;
POD 1600 - 2400 PASTOUK 1.7%;AKI068;;VAPES - LIQUIDEO;
POD 1600 - 2400 POM POIRE 0.9%;AKI103;;VAPES - LIQUIDEO;
POD 1600 - 2400 POM POIRE 1.7%;AKI104;;VAPES - LIQUIDEO;
POD 1600 - 2400 POM’ GLACEE 0.9%;AKI051;;VAPES - LIQUIDEO;
POD 1600 - 2400 POM’ GLACEE 1.7%;AKI052;;VAPES - LIQUIDEO;
POD 1600 - 2400 TOP CASSIS 0.9%;AKI073;;VAPES - LIQUIDEO;
POD 1600 - 2400 TOP CASSIS 1.7%;AKI074;;VAPES - LIQUIDEO;
POD 600 / GAMME 1800 MENTHE 1.7%;WP012;;VAPES - LIQUIDEO;
POD 800 - 2400 ANANAS GLACE 0.9%;AKI035;;VAPES - LIQUIDEO;
POD 800 - 2400 ANANAS GLACE 1.7%;AKI036;;VAPES - LIQUIDEO;
POD 800 - 2400 FRUITS ROUGES 0.9%;AKI031;;VAPES - LIQUIDEO;
POD 800 - 2400 FRUITS ROUGES 1.7%;AKI032;;VAPES - LIQUIDEO;
POD 800 - 2400 GROSSE FRAISE 0.9%;AKI033;;VAPES - LIQUIDEO;
POD 800 - 2400 GROSSE FRAISE 1.7%;AKI034;;VAPES - LIQUIDEO;
POD 800 - 2400 MENTHE NAR NAR 0.9%;AKI037;;VAPES - LIQUIDEO;
POD 800 - 2400 MENTHE NAR NAR 1.7%;AKI038;;VAPES - LIQUIDEO;
POD 800 - 2400 MY CHERRY CITRONNEE 0.9%;AKI041;;VAPES - LIQUIDEO;
POD 800 - 2400 MY CHERRY CITRONNEE 1.7%;AKI042;;VAPES - LIQUIDEO;
POD 800 - 2400 MYRTILLE FRAMBOYANTE 0.9%;AKI039;;VAPES - LIQUIDEO;
POD 800 - 2400 MYRTILLE FRAMBOYANTE 1.7%;AKI040;;VAPES - LIQUIDEO;
POD 800 - 2400 MYRTILLE GRENADE 0.9%;AKI029;;VAPES - LIQUIDEO;
POD 800 - 2400 MYRTILLE GRENADE 1.7%;AKI030;;VAPES - LIQUIDEO;
POD 800 - 2400 PANIK NAN TROPIK 0.9%;AKI045;;VAPES - LIQUIDEO;
POD 800 - 2400 PANIK NAN TROPIK 1.7%;AKI046;;VAPES - LIQUIDEO;
POD 800 - 2400 PASTOUK 0.9%;AKI043;;VAPES - LIQUIDEO;
POD 800 - 2400 PASTOUK 1.7%;AKI044;;VAPES - LIQUIDEO;
POD 800 - 2400 POM’ GLACEE 0.9%;AKI027;;VAPES - LIQUIDEO;
POD 800 - 2400 POM’ GLACEE 1.7%;AKI028;;VAPES - LIQUIDEO;
POD 800 - 2400 TOP CASSIS 0.9%;AKI049;;VAPES - LIQUIDEO;
POD 800 - 2400 TOP CASSIS 1.7%;AKI050;;VAPES - LIQUIDEO;
POD X-BAR FILTER GO - BATTERIE - STONE GREY X5;XPB012;;VAPES - X-BAR;
POD X-BAR FILTER GO - BATTERIE - SUNSET X5;XPB013;;VAPES - X-BAR;
POD X-BAR FILTER GO - BLOND - 0MG X5;XPB0011;;VAPES - X-BAR;
POD X-BAR FILTER GO - BLOND - 10MG X5;XPB001;;VAPES - X-BAR;
POD X-BAR FILTER GO - BLOND - 20MG X5;XPB002;;VAPES - X-BAR;
POD X-BAR FILTER GO - FRAISE KIWI - 0MG X5;XPB0012;;VAPES - X-BAR;
POD X-BAR FILTER GO - FRAISE KIWI - 10MG X5;XPB009;;VAPES - X-BAR;
POD X-BAR FILTER GO - FRAISE KIWI - 20MG X5;XPB010;;VAPES - X-BAR;
POD X-BAR FILTER GO - FRUIT DU DRAGON - 0MG X5;XPB0013;;VAPES - X-BAR;
POD X-BAR FILTER GO - FRUIT DU DRAGON - 10MG X5;XPB003;;VAPES - X-BAR;
POD X-BAR FILTER GO - FRUIT DU DRAGON - 20MG X5;XPB004;;VAPES - X-BAR;
POD X-BAR FILTER GO - MENTHE GLACEE - 0MG X5;XPB0014;;VAPES - X-BAR;
POD X-BAR FILTER GO - MENTHE GLACEE - 10MG X5;XPB005;;VAPES - X-BAR;
POD X-BAR FILTER GO - MENTHE GLACEE - 20MG X5;XPB006;;VAPES - X-BAR;
POD X-BAR FILTER GO - MYRTILLE GLACEE - 0MG X5;XPB0015;;VAPES - X-BAR;
POD X-BAR FILTER GO - MYRTILLE GLACEE - 10MG X5;XPB007;;VAPES - X-BAR;
POD X-BAR FILTER GO - MYRTILLE GLACEE - 20MG X5;XPB008;;VAPES - X-BAR;
POD X-BAR FILTER GO - VIDE X10;XPB011;;VAPES - X-BAR;
POD X-BAR FILTER PRO - BATTERIE - BLACK;XPR001;;VAPES - X-BAR;
POD X-BAR FILTER PRO - BATTERIE - CHAMPAGNE;XPR002;;VAPES - X-BAR;
PODIBALL ICE BLAST;BI005;;BILLES;
PODIBALL MENTHE GLACIALE;BI003;;BILLES;
PODIBALL MENTHE VERTE;BI004;;BILLES;
PORTE-AFFICHE JNR;GOO006;;PLV;
PRESENTOIR JNR;GOO008;;PLV;
PRESENTOIR MYELIQUIDE;MYE001;;ELIQUIDES - LIQUIDEO;
PRESENTOIR POUR CBD;PRE002;;PLV;
PRODUIT OFFERT - CORDON POUR TELEPHONE BLEU;OFF002;;PLV;
PRODUIT OFFERT - CORDON POUR TELEPHONE JAUNE;OFF002;;PLV;
PRODUIT OFFERT - CORDON POUR TELEPHONE ROSE;OFF002;;PLV;
PRODUIT OFFERT - PRÉSENTOIR LIQUIDEO DRAGONZZ;OFF0010;;PLV;
REMISE EXCEPTIONNELLE;REM001;;;
ROLLS NOIR X24 SENSKY;ROL002;;FEUILLES / FILTRES - SENSKY;
ROLLS ORIGINAL X24 SENSKY;ROL001;;FEUILLES / FILTRES - SENSKY;
ROULEUSE AJUSTABLE RAW / 79MM;R009;;ACCESSOIRES FUMEURS;
ROULEUSE AUTOMATIQUE RAW;R008;;ACCESSOIRES FUMEURS;
ROULEUSE RAW 70MM;R011;;ACCESSOIRES FUMEURS;
SAC JNR;GOO002;;PLV;
SAMBO 33CL;BOIS001;;BOISSONS;
STYLO JNR;GOO001;;PLV;
T9000 VAP - BLACK DRAGON ICE;VAP007;;VAPES - TORNADO;
T9000 VAP - BLUEBERRY RASPBERRY;VAP005;;VAPES - TORNADO;
T9000 VAP - CHERRY ICE;VAP001;;VAPES - TORNADO;
T9000 VAP - STRAWBERRY ICE CREAM;VAP006;;VAPES - TORNADO;
TEE-SHIRT JNR;GOO004;;PLV;
TIPS BLEU X50 SENSKY;ROL006;;FEUILLES / FILTRES - SENSKY;
TIPS ORIGINAL X50 SENSKY;ROL008;;FEUILLES / FILTRES - SENSKY;
TIPS ROUGE X50 SENSKY;ROL007;;FEUILLES / FILTRES - SENSKY;
TRANSPORT DE MARCHANDISE;TRA000;;;
TUBEUSE JASS;;;ACCESSOIRES FUMEURS;
VENTILATEUR 3D JNR;V3JNR;;PLV;
WFLAVORS FRUITS ROUGES 10ML / 3MG;LIQ001;;ELIQUIDES - LIQUIDEO;
WFLAVORS FRUITS ROUGES 10ML / 6MG;LIQ002;;ELIQUIDES - LIQUIDEO;
WFLAVORS GROSSE FRAISE 10ML / 3MG;LIQ003;;ELIQUIDES - LIQUIDEO;
WFLAVORS GROSSE FRAISE 10ML / 6MG;LIQ004;;ELIQUIDES - LIQUIDEO;
WFLAVORS LITCHI GLACE 10ML / 3MG;LIQ007;;ELIQUIDES - LIQUIDEO;
WFLAVORS LITCHI GLACE 10ML / 6MG;LIQ008;;ELIQUIDES - LIQUIDEO;
WFLAVORS MARSHMALOW 10ML / 3MG;LIQ009;;ELIQUIDES - LIQUIDEO;
WFLAVORS MARSHMALOW 10ML / 6MG;LIQ010;;ELIQUIDES - LIQUIDEO;
WFLAVORS MENTHE FRAICHE 10ML / 3MG;LIQ011;;ELIQUIDES - LIQUIDEO;
WFLAVORS MENTHE FRAICHE 10ML / 6MG;LIQ012;;ELIQUIDES - LIQUIDEO;
WFLAVORS MYRTILLE GLACEE 10ML / 3MG;LIQ013;;ELIQUIDES - LIQUIDEO;
WFLAVORS MYRTILLE GLACEE 10ML / 6MG;LIQ014;;ELIQUIDES - LIQUIDEO;
WFLAVORS PASTEQUE 10ML / 3MG;LIQ015;;ELIQUIDES - LIQUIDEO;
WFLAVORS PASTEQUE 10ML / 6MG;LIQ016;;ELIQUIDES - LIQUIDEO;
WFLAVORS POMME GLACEE 10ML / 3MG;LIQ017;;ELIQUIDES - LIQUIDEO;
WFLAVORS POMME GLACEE 10ML / 6MG;LIQ018;;ELIQUIDES - LIQUIDEO;
WFLAVORS RAISIN GLACEE 10ML / 3MG;LIQ019;;ELIQUIDES - LIQUIDEO;
WFLAVORS RAISIN GLACEE 10ML / 6MG;LIQ020;;ELIQUIDES - LIQUIDEO;
WILDGRIP 12CM TECK/7049;CTX011;;COUTEAUX;
WILDGRIP COUTEAU DE POCHE AIGLE/7052;CTX008;;COUTEAUX;
WILDGRIP COUTEAU DE POCHE BULLDOG/7057;CTX007;;COUTEAUX;
WILDGRIP COUTEAU DE POCHE GORILLE/7053;CTX009;;COUTEAUX;
WILDGRIP COUTEAU DE POCHE LION/7055;CTX006;;COUTEAUX;
WILDGRIP COUTEAU DE POCHE LOUP/7051;CTX005;;COUTEAUX;
WILDGRIP COUTEAU DE POCHE NEUTRE/7050;CTX004;;COUTEAUX;
WILDGRIP COUTEAU DE POCHE RHINO/7056;CTX0101;;COUTEAUX;
WPUFF 2400 BATTERIE GRISE;AKI000;;VAPES - LIQUIDEO;
WPUFF FLAVORS - DRAGONZZ - FRUIT DU DRAGON FRUITS ROUGES 50ML X4;EL00011;;ELIQUIDES - LIQUIDEO;
WPUFF FLAVORS - DRAGONZZ - FRUIT DU DRAGON MANGUE CASSIS 50ML X4;EL00012;;ELIQUIDES - LIQUIDEO;
WPUFF FLAVORS - DRAGONZZ - FRUIT DU DRAGON MYRTILLE FRAMBOISE 50ML X4;EL00013;;ELIQUIDES - LIQUIDEO;
WPUFF FLAVORS - DRAGONZZ - FRUIT DU DRAGON PASTEQUE KIWI 50ML X4;EL00014;;ELIQUIDES - LIQUIDEO;
WPUFF FLAVORS FRUIT DU DRAGON 50ML X4;EL009;;ELIQUIDES - LIQUIDEO;
WPUFF FLAVORS FRUITS ROUGES 50ML X4;EL001;;ELIQUIDES - LIQUIDEO;
WPUFF FLAVORS GROSSE FRAISE 50ML X4;EL002;;ELIQUIDES - LIQUIDEO;
WPUFF FLAVORS LITCHI 50ML X4;EL003;;ELIQUIDES - LIQUIDEO;
WPUFF FLAVORS MARSHMALLOW 50ML X4;EL004;;ELIQUIDES - LIQUIDEO;
WPUFF FLAVORS MENTHE 50ML X4;EL005;;ELIQUIDES - LIQUIDEO;
WPUFF FLAVORS MYRTILLE GLACEE 50ML X4;EL00010;;ELIQUIDES - LIQUIDEO;
WPUFF FLAVORS PASTÈQUE 50ML X4;EL006;;ELIQUIDES - LIQUIDEO;
WPUFF FLAVORS POMME 50ML X4;EL007;;ELIQUIDES - LIQUIDEO;
WPUFF FLAVORS RAISIN 50ML X4;EL008;;ELIQUIDES - LIQUIDEO;
WPUFF FUSION 2.0 KIT - COLA 1%;FUS2001;;VAPES - LIQUIDEO;
WPUFF FUSION 2.0 KIT - COLA 2%;FUS2002;;VAPES - LIQUIDEO;
WPUFF FUSION 2.0 KIT - FRUIT DU DRAGON 1%;FUS2003;;VAPES - LIQUIDEO;
WPUFF FUSION 2.0 KIT - FRUIT DU DRAGON 2%;FUS2004;;VAPES - LIQUIDEO;
WPUFF FUSION 2.0 KIT - FRUITS ROUGES 1%;FUS2005;;VAPES - LIQUIDEO;
WPUFF FUSION 2.0 KIT - FRUITS ROUGES 2%;FUS2006;;VAPES - LIQUIDEO;
WPUFF FUSION 2.0 KIT - GROSSE FRAISE 1%;FUS2007;;VAPES - LIQUIDEO;
WPUFF FUSION 2.0 KIT - GROSSE FRAISE 2%;FUS2008;;VAPES - LIQUIDEO;
WPUFF FUSION 2.0 KIT - MENTHE NAR NAR 1%;FUS2009;;VAPES - LIQUIDEO;
WPUFF FUSION 2.0 KIT - MENTHE NAR NAR 2%;FUS2010;;VAPES - LIQUIDEO;
WPUFF FUSION 2.0 KIT - MY CHERRY AMOUR 1%;FUS2011;;VAPES - LIQUIDEO;
WPUFF FUSION 2.0 KIT - MY CHERRY AMOUR 2%;FUS2012;;VAPES - LIQUIDEO;
WPUFF FUSION 2.0 KIT - MYRTILLE FRAMBOYANTE 1%;FUS2013;;VAPES - LIQUIDEO;
WPUFF FUSION 2.0 KIT - MYRTILLE FRAMBOYANTE 2%;FUS2014;;VAPES - LIQUIDEO;
WPUFF FUSION 2.0 KIT - MYRTILLE GRENADE 1%;FUS2015;;VAPES - LIQUIDEO;
WPUFF FUSION 2.0 KIT - MYRTILLE GRENADE 2%;FUS2016;;VAPES - LIQUIDEO;
WPUFF FUSION 2.0 KIT - PASTOUK 1%;FUS2017;;VAPES - LIQUIDEO;
WPUFF FUSION 2.0 KIT - PASTOUK 2%;FUS2018;;VAPES - LIQUIDEO;
WPUFF FUSION 2.0 KIT - POMELO 1%;FUS2019;;VAPES - LIQUIDEO;
WPUFF FUSION 2.0 KIT - POMELO 2%;FUS2020;;VAPES - LIQUIDEO;
WPUFF FUSION 2.0 KIT - RAISIN GLACE 1%;FUS2021;;VAPES - LIQUIDEO;
WPUFF FUSION 2.0 KIT - RAISIN GLACE 2%;FUS2022;;VAPES - LIQUIDEO;
WPUFF FUSION 2.0 KIT - TRIPLE MELON 1%;FUS2023;;VAPES - LIQUIDEO;
WPUFF FUSION 2.0 KIT - TRIPLE MELON 2%;FUS2024;;VAPES - LIQUIDEO;
WPUFF FUSION 2.0 POD - COLA 1%;FUS2025;;VAPES - LIQUIDEO;
WPUFF FUSION 2.0 POD - COLA 2%;FUS2026;;VAPES - LIQUIDEO;
WPUFF FUSION 2.0 POD - FRUIT DU DRAGON 1%;FUS2027;;VAPES - LIQUIDEO;
WPUFF FUSION 2.0 POD - FRUIT DU DRAGON 2%;FUS2028;;VAPES - LIQUIDEO;
WPUFF FUSION 2.0 POD - FRUITS ROUGES 1%;FUS2029;;VAPES - LIQUIDEO;
WPUFF FUSION 2.0 POD - FRUITS ROUGES 2%;FUS2030;;VAPES - LIQUIDEO;
WPUFF FUSION 2.0 POD - GROSSE FRAISE 1%;FUS2031;;VAPES - LIQUIDEO;
WPUFF FUSION 2.0 POD - GROSSE FRAISE 2%;FUS2032;;VAPES - LIQUIDEO;
WPUFF FUSION 2.0 POD - MENTHE NAR NAR 1%;FUS2033;;VAPES - LIQUIDEO;
WPUFF FUSION 2.0 POD - MENTHE NAR NAR 2%;FUS2034;;VAPES - LIQUIDEO;
WPUFF FUSION 2.0 POD - MY CHERRY AMOUR 1%;FUS2035;;VAPES - LIQUIDEO;
WPUFF FUSION 2.0 POD - MY CHERRY AMOUR 2%;FUS2036;;VAPES - LIQUIDEO;
WPUFF FUSION 2.0 POD - MYRTILLE FRAMBOYANTE 1%;FUS2037;;VAPES - LIQUIDEO;
WPUFF FUSION 2.0 POD - MYRTILLE FRAMBOYANTE 2%;FUS2038;;VAPES - LIQUIDEO;
WPUFF FUSION 2.0 POD - MYRTILLE GRENADE 1%;FUS2039;;VAPES - LIQUIDEO;
WPUFF FUSION 2.0 POD - MYRTILLE GRENADE 2%;FUS2040;;VAPES - LIQUIDEO;
WPUFF FUSION 2.0 POD - PASTOUK 1%;FUS2041;;VAPES - LIQUIDEO;
WPUFF FUSION 2.0 POD - PASTOUK 2%;FUS2042;;VAPES - LIQUIDEO;
WPUFF FUSION 2.0 POD - POMELO 1%;FUS2043;;VAPES - LIQUIDEO;
WPUFF FUSION 2.0 POD - POMELO 2%;FUS2044;;VAPES - LIQUIDEO;
WPUFF FUSION 2.0 POD - RAISIN GLACE 1%;FUS2045;;VAPES - LIQUIDEO;
WPUFF FUSION 2.0 POD - RAISIN GLACE 2%;FUS2046;;VAPES - LIQUIDEO;
WPUFF FUSION 2.0 POD - TRIPLE MELON 1%;FUS2047;;VAPES - LIQUIDEO;
WPUFF FUSION 2.0 POD - TRIPLE MELON 2%;FUS2048;;VAPES - LIQUIDEO;
WPUFF FUSION 2.0 POD 10+2 - 30K - CANAILLE 2%;FUS2050;;VAPES - LIQUIDEO;
WPUFF FUSION 2.0 POD 10+2 - 30K - FREEZE DRAGON 2%;FUS2064;;VAPES - LIQUIDEO;
WPUFF FUSION 2.0 POD 10+2 - 30K - FREEZE DRAGON SERPENT 2%;FUS2052;;VAPES - LIQUIDEO;
WPUFF FUSION 2.0 POD 10+2 - 30K - FREEZY COLA 2%;FUS2058;;VAPES - LIQUIDEO;
WPUFF FUSION 2.0 POD 10+2 - 30K - FRUITS DES BOIS 2%;FUS2062;;VAPES - LIQUIDEO;
WPUFF FUSION 2.0 POD 10+2 - 30K - MARSHMALLOW 2%;FUS2054;;VAPES - LIQUIDEO;
WPUFF FUSION 2.0 POD 10+2 - 30K - MENTHE GLACIALE 2%;FUS2056;;VAPES - LIQUIDEO;
WPUFF FUSION 2.0 POD 10+2 - 30K - RAISIN GLACEE 2%;FUS2060;;VAPES - LIQUIDEO;
WPUFF FUSION FRUITS DU DRAGON 1%;FUS011;;VAPES - LIQUIDEO;
WPUFF FUSION FRUITS ROUGES 1%;FUS009;;VAPES - LIQUIDEO;
WPUFF FUSION GROSSE FRAISE 1%;FUS007;;VAPES - LIQUIDEO;
WPUFF FUSION MYRTILLE FRAMBOYANTE 1%;FUS001;;VAPES - LIQUIDEO;
WPUFF FUSION PASSION CITRONNEE 1%;FUS015;;VAPES - LIQUIDEO;
WSALT FLAVORS FRUITS ROUGES 10ML / 10MG;EL025;;ELIQUIDES - LIQUIDEO;
WSALT FLAVORS FRUITS ROUGES 10ML / 20MG;EL010;;ELIQUIDES - LIQUIDEO;
WSALT FLAVORS GROSSE FRAISE 10ML / 10MG;EL011;;ELIQUIDES - LIQUIDEO;
WSALT FLAVORS GROSSE FRAISE 10ML / 20MG;EL012;;ELIQUIDES - LIQUIDEO;
WSALT FLAVORS LITCHI 10ML / 10MG;EL013;;ELIQUIDES - LIQUIDEO;
WSALT FLAVORS LITCHI 10ML / 20MG;EL014;;ELIQUIDES - LIQUIDEO;
WSALT FLAVORS MARSHMALLOW 10ML / 10MG;EL015;;ELIQUIDES - LIQUIDEO;
WSALT FLAVORS MARSHMALLOW 10ML / 20MG;EL016;;ELIQUIDES - LIQUIDEO;
WSALT FLAVORS MENTHE 10ML / 10MG;EL017;;ELIQUIDES - LIQUIDEO;
WSALT FLAVORS MENTHE 10ML / 20MG;EL018;;ELIQUIDES - LIQUIDEO;
WSALT FLAVORS PASTEQUE 10ML / 10MG;EL019;;ELIQUIDES - LIQUIDEO;
WSALT FLAVORS PASTEQUE 10ML / 20MG;EL020;;ELIQUIDES - LIQUIDEO;
WSALT FLAVORS POMME 10ML / 10MG;EL021;;ELIQUIDES - LIQUIDEO;
WSALT FLAVORS POMME 10ML / 20MG;EL022;;ELIQUIDES - LIQUIDEO;
WSALT FLAVORS RAISIN 10ML / 10MG;EL023;;ELIQUIDES - LIQUIDEO;
WSALT FLAVORS RAISIN 10ML / 20MG;EL024;;ELIQUIDES - LIQUIDEO;
X-BAR - FILTRE - BLUE;XBF002;;VAPES - X-BAR;
X-BAR - FILTRE - ROSE;XBF003;;VAPES - X-BAR;
X-BAR - FILTRE - WHITE;XBF004;;VAPES - X-BAR;
X-BAR E-LIQUIDE CLASSIC 10ML-10MG;XBL001;;ELIQUIDES - XBAR;
X-BAR E-LIQUIDE CLASSIC 10ML-20MG;XBL002;;ELIQUIDES - XBAR;
X-BAR E-LIQUIDE COTTON CANDY 10ML-20MG;XBL004;;ELIQUIDES - XBAR;
X-BAR E-LIQUIDE FRESH BERRY 10ML-10MG;XBL005;;ELIQUIDES - XBAR;
