ref_odoo;libelle;code_barre;categorie;prix_achat
BRIQUET TURBO ADAMO FEUILLES DOREES X50/177363;B211;;BRIQUETS - LAZER;
BRIQUET TURBO ADAMO LABEL LEAF X50/177376;B0049;;BRIQUETS - LAZER;
BRIQUET TURBO ADAMO SMILEY GRAFFITI X50/177386;B0046;;BRIQUETS - LAZER;
BRIQUET TURBO ADAMO TETE DE MORT X50/177350;B210;;BRIQUETS - LAZER;
BRIQUET TURBO ADAMO WHISKY X50/177377;B212;;BRIQUETS - LAZER;
BRIQUET TURBO MATTEO ARGENT X50/121052;B301;;BRIQUETS - LAZER;
BRIQUET TURBO MATTEO BITCOIN X25/173711;B0054;;BRIQUETS - LAZER;
BRIQUET TURBO MATTEO CALIFORNIA LEATHER X25/197800;B317;;BRIQUETS - LAZER;
BRIQUET TURBO MATTEO CALIFORNIA WEED SKULL X25/197801;B318;;BRIQUETS - LAZER;
BRIQUET TURBO MATTEO CHAMPAGNE X50/121021;B206;;BRIQUETS - LAZER;
BRIQUET TURBO MATTEO COFFEE X25/173720;B0051;;BRIQUETS - LAZER;
BRIQUET TURBO MATTEO CRANES DORES X50/170057;B302;;BRIQUETS - LAZER;
BRIQUET TURBO MATTEO GOLD WEED X50/121031;B208;;BRIQUETS - LAZER;
BRIQUET TURBO MATTEO HUNTING X25/173709;B0053;;BRIQUETS - LAZER;
BRIQUET TURBO MATTEO IOWA GOLD X25/197500;B315;;BRIQUETS - LAZER;
BRIQUET TURBO MATTEO IOWA POKER X25/197502;B316;;BRIQUETS - LAZER;
BRIQUET TURBO MATTEO LEAF RASTA CANNABIS X25/173717;B0050;;BRIQUETS - LAZER;
BRIQUET TURBO MATTEO MONEY X25/173500;B0028;;BRIQUETS - LAZER;
BRIQUET TURBO MATTEO REGGAE X50/121034;B300;;BRIQUETS - LAZER;
BRIQUET TURBO MATTEO RUBBER ARGENT X50/178259;B307;;BRIQUETS - LAZER;
BRIQUET TURBO MATTEO RUBBER CANNABIS X20/197100;B312;;BRIQUETS - LAZER;
BRIQUET TURBO MATTEO RUBBER LAS VEGAS X25/197302 OU 197307;B314;;BRIQUETS - LAZER;
BRIQUET TURBO MATTEO RUBBER NASHVILLE X25/197202;B313;;BRIQUETS - LAZER;
BRIQUET TURBO MATTEO RUBBER WEED X50/175118;B305;;BRIQUETS - LAZER;
BRIQUET TURBO MATTEO RUBBER WEED X50/178252;B204;;BRIQUETS - LAZER;
BRIQUET TURBO MATTEO RUBBER WEED X50/178261;B308;;BRIQUETS - LAZER;
BRIQUET TURBO MATTEO RUBBER WHISKY X50/178262;B309;;BRIQUETS - LAZER;
